"epoch","basic_gnn_aug - _step","basic_gnn_aug - _step__MIN","basic_gnn_aug - _step__MAX","basic_gnn_aug - train_displacement_distance_epoch","basic_gnn_aug - train_displacement_distance_epoch__MIN","basic_gnn_aug - train_displacement_distance_epoch__MAX","eq_gnn - _step","eq_gnn - _step__MIN","eq_gnn - _step__MAX","eq_gnn - train_displacement_distance_epoch","eq_gnn - train_displacement_distance_epoch__MIN","eq_gnn - train_displacement_distance_epoch__MAX","basic_gnn - _step","basic_gnn - _step__MIN","basic_gnn - _step__MAX","basic_gnn - train_displacement_distance_epoch","basic_gnn - train_displacement_distance_epoch__MIN","basic_gnn - train_displacement_distance_epoch__MAX"
"82","1659","1659","1659","0.06710511445999146","0.06710511445999146","0.06710511445999146","1327","1327","1327","0.06297487020492554","0.06297487020492554","0.06297487020492554","1659","1659","1659","0.06191519647836685","0.06191519647836685","0.06191519647836685"
"83","1679","1679","1679","0.06684474647045135","0.06684474647045135","0.06684474647045135","1343","1343","1343","0.06401243805885315","0.06401243805885315","0.06401243805885315","1679","1679","1679","0.061712730675935745","0.061712730675935745","0.061712730675935745"
"84","1699","1699","1699","0.06707656383514404","0.06707656383514404","0.06707656383514404","1359","1359","1359","0.06355897337198257","0.06355897337198257","0.06355897337198257","1699","1699","1699","0.06135730817914009","0.06135730817914009","0.06135730817914009"
"85","1719","1719","1719","0.06755688041448593","0.06755688041448593","0.06755688041448593","1375","1375","1375","0.06335284560918808","0.06335284560918808","0.06335284560918808","1719","1719","1719","0.06155085563659668","0.06155085563659668","0.06155085563659668"
"86","1739","1739","1739","0.06721033155918121","0.06721033155918121","0.06721033155918121","1391","1391","1391","0.06303302198648453","0.06303302198648453","0.06303302198648453","1739","1739","1739","0.061880651861429214","0.061880651861429214","0.061880651861429214"
"87","1759","1759","1759","0.06746399402618408","0.06746399402618408","0.06746399402618408","1407","1407","1407","0.06341627985239029","0.06341627985239029","0.06341627985239029","1759","1759","1759","0.06173379346728325","0.06173379346728325","0.06173379346728325"
"88","1779","1779","1779","0.06704996526241302","0.06704996526241302","0.06704996526241302","1423","1423","1423","0.063606396317482","0.063606396317482","0.063606396317482","1779","1779","1779","0.0612887479364872","0.0612887479364872","0.0612887479364872"
"89","1799","1799","1799","0.06781640648841858","0.06781640648841858","0.06781640648841858","1439","1439","1439","0.06326869130134583","0.06326869130134583","0.06326869130134583","1799","1799","1799","0.06104603782296181","0.06104603782296181","0.06104603782296181"
"90","1819","1819","1819","0.0669190064072609","0.0669190064072609","0.0669190064072609","1455","1455","1455","0.06308045983314514","0.06308045983314514","0.06308045983314514","1819","1819","1819","0.061151910573244095","0.061151910573244095","0.061151910573244095"
"91","1839","1839","1839","0.06612890958786011","0.06612890958786011","0.06612890958786011","1471","1471","1471","0.0627426877617836","0.0627426877617836","0.0627426877617836","1839","1839","1839","0.06117672845721245","0.06117672845721245","0.06117672845721245"
"92","1859","1859","1859","0.0670267641544342","0.0670267641544342","0.0670267641544342","1487","1487","1487","0.06290991604328156","0.06290991604328156","0.06290991604328156","1859","1859","1859","0.061082929372787476","0.061082929372787476","0.061082929372787476"
"93","1879","1879","1879","0.06696034222841263","0.06696034222841263","0.06696034222841263","1503","1503","1503","0.06267499178647995","0.06267499178647995","0.06267499178647995","1879","1879","1879","0.06118118390440941","0.06118118390440941","0.06118118390440941"
"94","1899","1899","1899","0.0671275332570076","0.0671275332570076","0.0671275332570076","1519","1519","1519","0.06273791939020157","0.06273791939020157","0.06273791939020157","1899","1899","1899","0.061670608818531036","0.061670608818531036","0.061670608818531036"
"95","1919","1919","1919","0.06658938527107239","0.06658938527107239","0.06658938527107239","1535","1535","1535","0.06245026737451553","0.06245026737451553","0.06245026737451553","1919","1919","1919","0.06091530621051788","0.06091530621051788","0.06091530621051788"
"96","1939","1939","1939","0.06676647812128067","0.06676647812128067","0.06676647812128067","1551","1551","1551","0.06295768916606903","0.06295768916606903","0.06295768916606903","1939","1939","1939","0.06091902777552605","0.06091902777552605","0.06091902777552605"
"97","1959","1959","1959","0.06651198118925095","0.06651198118925095","0.06651198118925095","1567","1567","1567","0.06325266510248184","0.06325266510248184","0.06325266510248184","1959","1959","1959","0.06106692925095558","0.06106692925095558","0.06106692925095558"
"98","1979","1979","1979","0.0662996917963028","0.0662996917963028","0.0662996917963028","1583","1583","1583","0.06253232806921005","0.06253232806921005","0.06253232806921005","1979","1979","1979","0.061527319252491","0.061527319252491","0.061527319252491"
"99","1999","1999","1999","0.06640420109033585","0.06640420109033585","0.06640420109033585","1599","1599","1599","0.06264207512140274","0.06264207512140274","0.06264207512140274","1999","1999","1999","0.06096779182553291","0.06096779182553291","0.06096779182553291"
